317,668,602,693,600,718,315,702,
65,478,170,478,172,508,68,508,
487,114,640,105,640,138,485,144,
221,565,342,565,354,593,223,594,
25,691,53,692,52,719,25,718,
352,837,505,845,503,875,340,871,
243,329,430,342,428,371,235,359,
68,722,262,709,260,738,71,749,
216,420,623,433,622,471,216,447,
62,352,250,361,250,389,62,382,
535,587,616,591,614,614,530,608,
431,342,630,337,629,372,431,371,
299,803,497,794,493,834,299,834,
65,448,179,450,174,475,66,476,
62,386,186,388,181,419,65,415,
68,661,207,655,207,684,68,691,
64,506,297,507,292,534,63,540,
433,460,625,469,622,499,430,490,
71,760,281,743,281,773,72,789,
61,321,206,327,203,356,65,351,
223,269,248,272,248,298,222,295,
63,416,191,418,187,448,65,447,
446,372,631,371,629,402,446,400,
64,259,189,265,190,293,64,289,
67,600,179,597,177,628,69,629,
302,511,623,530,621,562,302,541,
15,260,48,261,48,290,17,289,
160,864,349,842,339,871,161,895,
212,295,493,313,491,343,210,328,
64,569,218,567,223,597,67,600,
295,539,503,557,502,586,291,563,
203,477,625,498,622,529,203,504,
207,447,432,460,428,490,204,475,
70,630,143,631,141,660,73,657,
67,690,314,675,313,704,68,722,
18,291,46,292,46,321,18,320,
250,360,445,374,443,401,254,389,
173,481,199,481,199,506,176,504,
355,570,530,589,528,615,355,597,
83,104,204,109,202,134,82,130,
505,556,621,562,617,587,505,582,
71,825,297,809,299,837,71,856,
68,540,294,536,288,563,69,571,
237,113,487,117,482,152,236,140,
24,631,51,632,52,660,24,658,
211,389,376,399,377,425,209,418,
68,789,392,762,392,790,71,820,
62,291,203,296,203,323,65,321,
354,90,443,90,442,122,356,119,
493,307,630,307,629,338,495,340,
379,398,628,402,623,434,378,427,
24,661,51,662,52,688,25,689,
