788,226,966,284,967,374,774,380,
115,207,591,170,603,314,125,340,
677,166,965,132,967,178,679,204,
95,649,194,644,193,658,97,667,
607,649,1066,666,1069,680,608,666,
642,317,739,312,742,342,643,350,
610,625,709,627,709,642,611,641,
89,587,218,578,224,605,86,613,
76,384,189,378,188,402,77,407,
608,608,708,612,709,626,613,625,
862,81,976,75,980,119,865,129,
60,103,196,92,198,125,60,138,
63,227,110,225,115,311,69,312,
657,290,721,287,722,314,659,314,
687,208,1108,167,1110,218,685,243,
195,345,597,324,596,385,193,406,
89,673,580,646,583,663,87,689,
92,691,310,677,314,691,91,705,
915,244,1168,229,1168,260,915,274,
94,631,244,623,245,640,95,649,
75,352,120,350,123,379,77,382,
85,432,795,405,800,430,84,459,
722,596,1168,605,1168,669,728,651,
248,616,579,588,581,647,252,661,
609,665,885,676,887,689,610,678,
59,144,718,95,730,144,57,198,
