122,154,311,154,311,221,122,221,洋食
160,294,478,294,478,334,160,334,生ハムと人参のサラダ
162,342,700,327,701,366,163,381,小海老のマリネとコールスローサラダ
163,386,351,386,351,416,163,416,鴨のスモーク
131,456,314,456,314,486,131,486,メインディッシュ
160,534,717,534,717,572,160,572,サフランとディルの香るクリームソース
162,582,335,582,335,619,162,619,[237 kcal]
126,654,225,654,225,684,126,684,ブレッド
160,695,481,695,481,729,160,729,ホールウィートブレッド
124,769,229,769,229,801,124,801,デザート
158,812,548,812,548,846,158,846,ブルーベリーチーズケーキ
129,253,300,251,299,293,129,293,0
159,492,386,489,386,533,158,533,0
